Year/Month,總計,桃園國際機場,高雄國際機場,臺北松山機場,花蓮機場,臺東機場,澎湖機場,臺中機場,臺南機場,嘉義機場,七美機場,望安機場,蘭嶼機場,綠島機場,金門機場,北竿機場,屏東機場,南竿機場,恆春機場
2007/10,3123039,1911024,445240,313279,41463,33981,106412,66139,40812,6673,1810,208,2926,2451,124026,5246,2166,19025,158
2007/11,3009278,1846737,413602,309034,49009,30410,92647,64902,44042,6367,1559,189,1888,2565,121382,4214,2038,18640,53
2007/12,3060548,1890788,416150,310740,49289,35658,95010,69166,45631,6006,1771,214,2880,2765,116677,4291,2121,11185,206
2008/01,2991210,1896085,395566,288343,47307,32428,93423,63702,40271,5151,1999,213,2187,2331,109845,3255,1908,7058,138
2008/02,3133543,1904356,417078,321406,45236,35792,114463,77567,40353,7323,1836,228,3463,2418,139839,3794,2414,15717,260
2008/03,2974120,1888816,386779,269277,41700,32920,101409,71612,33394,4790,1612,193,3961,2837,115177,3932,2256,13122,333
2008/04,3064650,1911170,407893,255685,41220,33071,147685,85266,29567,5476,1672,230,5323,2261,119740,4045,1938,11946,462
2008/05,3072696,1906261,375679,260747,37865,30209,179505,95451,25862,5504,1712,287,4736,2528,126695,5061,1844,12450,300
2008/06,3002295,1900938,338838,232134,33220,25461,179486,105306,20916,7142,1606,202,4772,2021,128309,3083,1320,16797,744
2008/07,3364566,2005009,386214,305704,30637,33195,238867,127924,18194,8611,2066,196,5711,2254,172611,5985,1286,19277,825
2008/08,3130307,1896037,332868,290605,30618,36569,189537,117453,16609,10006,2235,277,6045,2438,168902,5319,1139,22890,760
2008/09,2655215,1645130,285232,224605,23269,25758,141380,95468,15642,7636,1682,216,4160,1964,159114,5752,625,17242,340
2008/10,2823726,1764562,299215,238999,28507,31047,117982,101421,16014,6680,1870,243,4131,2728,182362,6427,666,20772,100
2008/11,2526394,1595035,270029,210680,27092,26397,96485,84714,15054,6428,1957,212,2575,2565,164846,5120,527,16482,196
